"","treatment","GP1","GP2","Akt_inh1","PKC_inh","PIP2_inh","MEK_inh","Akt_inh2","PKC_act","PKA_act","praf","pmek","plcg","PIP2","PIP3","p44.42","pakts473","PKA","PKC","P38","pjnk"
"25","cd3cd28",1,0,0,0,0,0,0,0,0,70.4,42.2,17.6,20.9,10.5,59.4,98.2,1981,35.9,46.1,17.8
"26","cd3cd28",1,0,0,0,0,0,0,0,0,21.5,1,8.28,181,43.7,18.8,38.5,644,13.6,29.2,7.04
"27","cd3cd28",1,0,0,0,0,0,0,0,0,39.2,23.1,18.6,22.1,10.6,17.8,32.2,466,10.5,23.3,6.98
"28","cd3cd28",1,0,0,0,0,0,0,0,0,69.8,20.4,19.8,18.4,6.26,10.4,25,500,22.7,48.3,59.4
"29","cd3cd28",1,0,0,0,0,0,0,0,0,34.9,22.3,17.2,50,23.1,34.3,51.4,308,13.2,38.9,196
"30","cd3cd28",1,0,0,0,0,0,0,0,0,40.7,24.8,13,62.6,38.2,5.14,14.7,673,28.1,41.8,23.1
"31","cd3cd28",1,0,0,0,0,0,0,0,0,45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382,19.5,38.5,20.9
"32","cd3cd28",1,0,0,0,0,0,0,0,0,43.7,29.2,14.5,17.6,13.1,8.58,12.5,621,34,67.9,28.1
"33","cd3cd28",1,0,0,0,0,0,0,0,0,79.9,80.6,4.41,209,19.5,10.5,35.5,422,26.9,40.3,15.3
"34","cd3cd28",1,0,0,0,0,0,0,0,0,56.7,17.3,21.7,18.1,12.7,9.22,22.9,552,38.5,59.9,17.9
"35","cd3cd28",1,0,0,0,0,0,0,0,0,58.8,19.5,2.57,41.4,2.21,19.1,33.7,325,22.9,31.9,20.7
"36","cd3cd28",1,0,0,0,0,0,0,0,0,53.8,12.7,10.9,12.4,30.8,20.2,37.9,403,22.5,38.5,20.9
"37","cd3cd28",1,0,0,0,0,0,0,0,0,58.3,23.1,18.9,79.1,24.4,36.2,48.7,429,14.7,28.9,12.6
"38","cd3cd28",1,0,0,0,0,0,0,0,0,160,28.1,7.1,115,16.1,4.96,12.4,1241,2.46,31.3,83.5
"39","cd3cd28",1,0,0,0,0,0,0,0,0,45.3,9.39,12.2,53.8,27.6,4.29,27.6,599,38.2,80.6,139
"40","cd3cd28",1,0,0,0,0,0,0,0,0,54.7,28.4,8.35,9.39,20.7,38.5,59.9,898,12.7,23.7,13.5
"41","cd3cd28",1,0,0,0,0,0,0,0,0,85.1,26.9,25.3,47.8,22.9,13.6,14.2,396,4.74,8.98,43.3
"42","cd3cd28",1,0,0,0,0,0,0,0,0,109,43.7,9.47,343,60.4,27.1,42.6,319,14.9,37.9,17.8
"43","cd3cd28",1,0,0,0,0,0,0,0,0,25.7,15.3,1,120,23.7,2.69,18.9,10.2,4.96,40.3,221
"44","cd3cd28",1,0,0,0,0,0,0,0,0,50.5,28.1,27.6,28.9,13.8,14.7,24.8,382,15.3,20,7.7
"45","cd3cd28",1,0,0,0,0,0,0,0,0,69.2,17.8,17.8,62.1,23.1,2.71,13.3,562,4.45,20,105
"46","cd3cd28",1,0,0,0,0,0,0,0,0,62.6,19.3,8.51,20.9,39.2,4.49,24.8,474,23.5,48.7,22.5
"47","cd3cd28",1,0,0,0,0,0,0,0,0,67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433,31.9,66.7,40
"48","cd3cd28",1,0,0,0,0,0,0,0,0,75,57.8,4.91,15.4,24.6,21.9,36.2,233,21.3,46.1,17
"49","cd3cd28",1,0,0,0,0,0,0,0,0,50.9,42.2,7.57,122,48.3,6.26,36.2,1027,12.5,32.8,108
"50","cd3cd28",1,0,0,0,0,0,0,0,0,79.9,20.4,24.1,22.5,20,8.82,24.1,466,19.1,34.9,6.15
"51","cd3cd28",1,0,0,0,0,0,0,0,0,62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310,8.74,22.7,11.7
"52","cd3cd28",1,0,0,0,0,0,0,0,0,50.9,25.3,6.38,76.4,17.2,9.06,15.4,673,4.66,26.9,173
"53","cd3cd28",1,0,0,0,0,0,0,0,0,75,30.5,13.6,51.4,42.2,25.3,35.5,466,20.4,43.7,10.1
"54","cd3cd28",1,0,0,0,0,0,0,0,0,59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,17.2,32.5,10.5
"55","cd3cd28",1,0,0,0,0,0,0,0,0,181,37.9,1,292,49.6,6.38,13.1,573,20.9,38.2,17.6
"56","cd3cd28",1,0,0,0,0,0,0,0,0,69.8,33.1,12.7,67.3,1.91,4.07,27.1,973,85.8,121,32.5
"57","cd3cd28",1,0,0,0,0,0,0,0,0,57.3,19.1,11.1,42.2,6.61,5.83,13.5,547,44.9,80.6,71.7
"58","cd3cd28",1,0,0,0,0,0,0,0,0,82.8,30.5,13.9,18.6,6.92,23.5,37.5,418,6.55,16.7,95.6
"59","cd3cd28",1,0,0,0,0,0,0,0,0,35.5,24.6,15.7,35.5,11.9,21.9,45.7,322,6.79,23.3,11.9
"60","cd3cd28",1,0,0,0,0,0,0,0,0,80.6,27.9,17.9,42.6,17.3,2.84,20.7,188,20.7,33.1,17.5
"61","cd3cd28",1,0,0,0,0,0,0,0,0,113,45.7,10.8,154,58.3,13.1,21.5,337,5.47,20,9.39
"62","cd3cd28",1,0,0,0,0,0,0,0,0,8.9,10.1,10.3,89,29.4,181,355,1731,24.1,42.2,20.7
"63","cd3cd28",1,0,0,0,0,0,0,0,0,35.2,14.1,7.1,20.2,32.2,12.9,22.5,583,37.5,47.4,9.47
"64","cd3cd28",1,0,0,0,0,0,0,0,0,24.1,12.3,12.7,62.6,26.7,9.14,16.5,547,25.7,59.9,80.6
"65","cd3cd28",1,0,0,0,0,0,0,0,0,164,33.1,5.78,28.6,13.7,16.3,24.1,319,22.5,35.5,12.4
"66","cd3cd28",1,0,0,0,0,0,0,0,0,57.8,27.1,15.5,57.3,19.5,25.9,34.6,382,3.05,27.1,78.4
"67","cd3cd28",1,0,0,0,0,0,0,0,0,90.6,27.4,40,97.3,71,10.9,18.9,429,4.45,42.9,80.6
"68","cd3cd28",1,0,0,0,0,0,0,0,0,38.5,12.7,4.37,22.7,23.7,4.22,10.8,578,1.86,7.37,3.43
"69","cd3cd28",1,0,0,0,0,0,0,0,0,51.4,36.8,12.7,40.3,21.7,12.7,25.9,667,2.5,14.9,64.9
"70","cd3cd28",1,0,0,0,0,0,0,0,0,26.9,15.1,18.6,20.5,8.43,20.4,38.5,437,11.7,24.4,15.4
"71","cd3cd28",1,0,0,0,0,0,0,0,0,56.2,21.1,12.7,21.1,57.8,14.1,19.8,474,25.9,39.6,75.7
"72","cd3cd28",1,0,0,0,0,0,0,0,0,70.4,35.5,18.4,45.7,47.8,18.8,31.6,418,10,22.3,6.67
"73","cd3cd28",1,0,0,0,0,0,0,0,0,58.8,35.2,12.2,16.5,24.1,18.4,33.7,362,16.3,19.8,10.4
"74","cd3cd28",1,0,0,0,0,0,0,0,0,69.2,35.5,17.3,50,19.8,8.51,18.6,151,12,31.1,27.6
"75","cd3cd28",1,0,0,0,0,0,0,0,0,69.8,47,25.5,276,77,32.8,51.4,799,19.6,47.8,16.4
"76","cd3cd28",1,0,0,0,0,0,0,0,0,105,59.9,20,19.6,15.1,6.85,23.1,1065,1.67,48.3,4.66
"77","cd3cd28",1,0,0,0,0,0,0,0,0,62.1,51.9,13.6,30.2,10.6,14.3,37.9,692,6.49,25,91.4
"78","cd3cd28",1,0,0,0,0,0,0,0,0,75,33.4,1,31.6,1,19.8,27.6,505,18.6,31.1,7.64
"79","cd3cd28",1,0,0,0,0,0,0,0,0,20.4,15.1,7.99,101,35.9,9.14,22.9,400,11.7,22.7,6.85
"80","cd3cd28",1,0,0,0,0,0,0,0,0,47.8,19.6,17.5,33.1,82,17.9,35.2,956,22.5,43.3,20
"81","cd3cd28",1,0,0,0,0,0,0,0,0,59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407,18.8,29.4,16.8
"82","cd3cd28",1,0,0,0,0,0,0,0,0,46.6,27.1,12.4,109,21.9,21.5,38.2,207,11,31.3,12
"83","cd3cd28",1,0,0,0,0,0,0,0,0,51.9,21.3,49.1,58.8,10.8,58.8,200,3051,15.3,39.2,15.7
"84","cd3cd28",1,0,0,0,0,0,0,0,0,31.9,23.9,15.1,12.7,4.61,6.73,15,562,1,68.5,8.2
"85","cd3cd28",1,0,0,0,0,0,0,0,0,93.9,27.4,67.3,138,30.8,28.1,46.1,906,2.69,6.98,71
"86","cd3cd28",1,0,0,0,0,0,0,0,0,64.9,23.3,15.3,12.6,9.06,19.6,35.2,806,2.37,20,7.91
"87","cd3cd28",1,0,0,0,0,0,0,0,0,153,123,12,34.6,63.8,8.58,26.2,470,1,12,9.91
"88","cd3cd28",1,0,0,0,0,0,0,0,0,16.7,12.4,7.04,235,34.9,44.9,64.9,1843,23.5,36.2,30.5
"89","cd3cd28",1,0,0,0,0,0,0,0,0,71.7,25.5,13.1,12,43.3,12.2,31.3,655,7.7,16.4,49.1
"90","cd3cd28",1,0,0,0,0,0,0,0,0,35.5,23.7,2.89,4.26,12.9,13,22.7,470,7.77,33.4,16.3
"91","cd3cd28",1,0,0,0,0,0,0,0,0,83.5,61.5,13,34.6,12.3,3.46,19.5,239,2.53,2.69,6.1
"92","cd3cd28",1,0,0,0,0,0,0,0,0,31.9,8.82,12.9,154,56.7,16.8,16,433,9.56,48.7,54.2
"93","cd3cd28",1,0,0,0,0,0,0,0,0,29.4,20.2,7.7,125,27.4,89,150,799,2.71,15.4,49.1
"94","cd3cd28",1,0,0,0,0,0,0,0,0,302,325,17.6,25.7,10.7,29.2,38.2,313,10.8,36.5,17.2
"95","cd3cd28",1,0,0,0,0,0,0,0,0,40.3,16.5,11.5,505,67.3,19.3,29.7,483,2.92,15.3,89
"96","cd3cd28",1,0,0,0,0,0,0,0,0,29.2,15.4,9.73,23.1,71,6.38,47,557,20,24.6,7.7
"97","cd3cd28",1,0,0,0,0,0,0,0,0,46.1,25.7,12.7,24.4,37.2,16.8,35.9,375,5.47,39.2,95.6
"98","cd3cd28",1,0,0,0,0,0,0,0,0,52.3,21.5,27.1,155,67.9,7.23,23.9,820,3.59,25,93.1
"99","cd3cd28",1,0,0,0,0,0,0,0,0,48.7,36.5,18.6,10.6,13.9,6.1,25.9,1009,10.2,22.7,15.3
"100","cd3cd28",1,0,0,0,0,0,0,0,0,85.8,82,120,325,79.1,6.61,10.9,723,12.1,21.9,5.42
"101","cd3cd28",1,0,0,0,0,0,0,0,0,75.7,25.9,21.5,64.4,45.3,8.28,28.4,583,15.7,36.8,13.7
"102","cd3cd28",1,0,0,0,0,0,0,0,0,58.3,21.9,14.9,18.4,30.2,5.47,17.2,982,16.3,21.5,15.5
"103","cd3cd28",1,0,0,0,0,0,0,0,0,58.8,34.9,13.3,82.8,38.2,22.5,27.9,379,6.55,18.4,48.7
"104","cd3cd28",1,0,0,0,0,0,0,0,0,112,27.6,28.4,67.9,30.5,10.8,16.7,403,17.8,29.7,7.77
"105","cd3cd28",1,0,0,0,0,0,0,0,0,66.7,29.2,2.39,10.9,32.2,22.9,32.2,379,14.3,30.8,17.6
"106","cd3cd28",1,0,0,0,0,0,0,0,0,39.6,23.9,6.61,137,20.4,22.7,38.2,313,16.1,20,10.5
"107","cd3cd28",1,0,0,0,0,0,0,0,0,36.5,15.5,2.55,8.35,40,15.8,34.6,281,21.3,28.6,13.9
"108","cd3cd28",1,0,0,0,0,0,0,0,0,38.2,25.7,32.2,59.4,138,24.1,36.5,331,38.5,67.9,16.3
"109","cd3cd28",1,0,0,0,0,0,0,0,0,41.8,21.3,9.39,7.91,32.5,13.3,61,858,2.81,17.3,64.4
"110","cd3cd28",1,0,0,0,0,0,0,0,0,62.1,18.1,24.8,113,25.5,17,34.6,604,4.26,13.5,72.3
"111","cd3cd28",1,0,0,0,0,0,0,0,0,167,79.1,9.65,111,20.2,28.4,89,1472,20.4,29.2,12.9
"112","cd3cd28",1,0,0,0,0,0,0,0,0,55.7,28.6,25.9,51.9,64.9,7.5,17.6,271,2.21,4.45,9.73
"113","cd3cd28",1,0,0,0,0,0,0,0,0,84.3,71.7,12.9,93.1,36.5,8.9,17.8,906,9.06,25,42.2
"114","cd3cd28",1,0,0,0,0,0,0,0,0,60.4,25.3,19.1,27.4,44.5,44.5,64.9,1197,20.9,49.6,17.5
"115","cd3cd28",1,0,0,0,0,0,0,0,0,57.3,21.9,38.2,38.5,81.3,5.83,12.9,274,16,21.5,14.9
"116","cd3cd28",1,0,0,0,0,0,0,0,0,76.4,32.8,30,60.4,49.6,5.47,14.3,87.4,11.1,27.4,7.43
"117","cd3cd28",1,0,0,0,0,0,0,0,0,96.5,119,15.5,71,13.9,19.5,32.2,500,50.9,75,26.9
"118","cd3cd28",1,0,0,0,0,0,0,0,0,38.5,17.8,32.2,115,61,10.6,21.3,965,5,20.4,34.9
"119","cd3cd28",1,0,0,0,0,0,0,0,0,66.1,46.6,7.7,19.6,75.7,15.7,17.8,519,12,13.8,14.9
"120","cd3cd28",1,0,0,0,0,0,0,0,0,112,79.1,7.37,15,35.9,10.6,32.2,382,14.9,31.1,12
"121","cd3cd28",1,0,0,0,0,0,0,0,0,47,22.3,12.2,73,24.1,3.49,11.4,340,5.62,13.9,93.9
"122","cd3cd28",1,0,0,0,0,0,0,0,0,87.4,54.7,19.6,8.58,24.8,15.8,33.1,757,24.6,40.7,25
"123","cd3cd28",1,0,0,0,0,0,0,0,0,57.8,19.1,22.9,19.1,11.3,18.8,57.3,743,8.66,8.35,24.4
"124","cd3cd28",1,0,0,0,0,0,0,0,0,92.2,31.1,18.9,22.3,34.3,13.6,29.4,385,7.23,17.6,7.99
"125","cd3cd28",1,0,0,0,0,0,0,0,0,93.1,28.9,9.56,11.4,23.1,20.4,24.8,319,4.14,20.2,122
"126","cd3cd28",1,0,0,0,0,0,0,0,0,107,36.8,16,38.9,29.2,18.8,28.1,276,1.83,25.5,97.3
"127","cd3cd28",1,0,0,0,0,0,0,0,0,80.6,56.7,16.1,27.6,4.03,5.28,5.88,491,3.52,5.57,24.4
"128","cd3cd28",1,0,0,0,0,0,0,0,0,44.9,25.3,1,158,12.3,14.2,26.2,514,6.55,16.1,33.7
"129","cd3cd28",1,0,0,0,0,0,0,0,0,27.4,18.8,9.65,13.2,9.73,18.6,54.7,286,1.88,19.8,88.2
"130","cd3cd28",1,0,0,0,0,0,0,0,0,31.6,25.7,24.6,35.2,25.7,14.1,25.7,284,20.4,28.4,48.3
"131","cd3cd28",1,0,0,0,0,0,0,0,0,52.3,33.4,8.13,25.5,5.73,30.5,42.9,305,34.9,68.5,20.4
"132","cd3cd28",1,0,0,0,0,0,0,0,0,71.7,27.4,8.82,18.3,23.1,14.1,27.4,649,3.82,20.2,53.8
"133","cd3cd28",1,0,0,0,0,0,0,0,0,44.5,26.9,15.5,87.4,12.5,4.53,16,379,3.68,32.5,77
"134","cd3cd28",1,0,0,0,0,0,0,0,0,74.3,27.4,16.4,22.7,2,6.26,15.1,457,13.6,24.6,6.55
"135","cd3cd28",1,0,0,0,0,0,0,0,0,44.1,20.2,13.9,17.8,39.2,22.3,30.2,487,30.5,40,23.7
"136","cd3cd28",1,0,0,0,0,0,0,0,0,42.9,22.9,17.3,17.8,21.9,13.1,36.8,710,12.6,24.4,65.5
"137","cd3cd28",1,0,0,0,0,0,0,0,0,79.1,26.4,1.19,3.96,41.4,8.06,20.4,509,3.68,16,63.2
"138","cd3cd28",1,0,0,0,0,0,0,0,0,89,30,44.9,47,7.37,52.8,97.3,2288,69.8,94.7,8.28
"139","cd3cd28",1,0,0,0,0,0,0,0,0,63.2,27.4,14.5,80.6,41,15.1,38.2,453,13.6,32.8,13.1
"140","cd3cd28",1,0,0,0,0,0,0,0,0,27.9,20.7,25.3,70.4,42.2,6.98,21.3,313,24.8,44.5,23.1
"141","cd3cd28",1,0,0,0,0,0,0,0,0,69.8,22.9,19.3,17.5,9.73,20.7,28.1,255,13,25.3,9.73
"142","cd3cd28",1,0,0,0,0,0,0,0,0,28.9,15.7,22.7,37.9,49.1,13,23.5,509,22.1,53.8,35.9
"143","cd3cd28",1,0,0,0,0,0,0,0,0,102,30.8,7.17,82,49.1,20.2,25,343,3.96,26.9,87.4
"144","cd3cd28",1,0,0,0,0,0,0,0,0,59.4,25.3,14.9,61.5,26.2,22.5,36.5,239,2.74,14.5,77.7
"145","cd3cd28",1,0,0,0,0,0,0,0,0,89.8,31.3,18.8,22.5,8.74,25,37.5,426,29.7,60.4,24.1
"146","cd3cd28",1,0,0,0,0,0,0,0,0,200,33.1,19.5,56.2,16.1,21.7,35.5,305,4.26,14.2,95.6
"147","cd3cd28",1,0,0,0,0,0,0,0,0,62.1,18.1,14.9,149,62.1,4.49,20.7,698,44.1,125,57.3
"148","cd3cd28",1,0,0,0,0,0,0,0,0,46.1,23.7,17.9,276,41.4,15,19.5,334,16.7,31.6,11.8
"149","cd3cd28",1,0,0,0,0,0,0,0,0,149,85.1,8.43,7.99,17.8,29.2,69.2,1208,26.4,46.6,30
"150","cd3cd28",1,0,0,0,0,0,0,0,0,8.9,15.5,7.91,153,16,40.3,61.5,1582,12.2,25.7,12
"151","cd3cd28",1,0,0,0,0,0,0,0,0,109,40,9.82,24.4,73,12.3,23.1,487,17.9,30.8,15.1
"152","cd3cd28",1,0,0,0,0,0,0,0,0,71.7,42.9,31.1,23.9,10.5,8.13,34.9,2571,1,33.4,1.01
"153","cd3cd28",1,0,0,0,0,0,0,0,0,68.5,24.4,16.3,47.8,13.9,5.94,17.2,649,18.6,38.5,17.8
"154","cd3cd28",1,0,0,0,0,0,0,0,0,79.9,44.1,4.45,89.8,28.1,39.2,82.8,632,20.4,51.4,35.9
"155","cd3cd28",1,0,0,0,0,0,0,0,0,85.1,34.9,1,325,23.5,44.1,86.6,799,23.9,41.8,16.7
"156","cd3cd28",1,0,0,0,0,0,0,0,0,196,163,3.85,311,59.9,22.9,25.3,470,2.15,6.61,2.81
"157","cd3cd28",1,0,0,0,0,0,0,0,0,38.5,17.3,25.7,26.4,10.9,29.4,42.6,322,23.3,37.5,19.3
"158","cd3cd28",1,0,0,0,0,0,0,0,0,64.4,50.9,12.7,12.4,3.11,22.5,30,573,25,54.7,20.9
"159","cd3cd28",1,0,0,0,0,0,0,0,0,97.3,22.7,17.5,101,31.3,19.6,25.3,352,13.9,36.2,9.82
"160","cd3cd28",1,0,0,0,0,0,0,0,0,79.1,28.4,7.3,6.73,66.7,27.4,53.3,1655,40,66.1,20.4
"161","cd3cd28",1,0,0,0,0,0,0,0,0,106,24.8,1.35,61,16.1,70.4,108,1018,15.4,31.9,14.2
"162","cd3cd28",1,0,0,0,0,0,0,0,0,76.4,30.8,8.51,141,12.1,19.3,34,297,6.15,29.4,118
"163","cd3cd28",1,0,0,0,0,0,0,0,0,108,30.8,21.5,41,30.8,6.61,27.4,1094,11.5,30.2,67.3
"164","cd3cd28",1,0,0,0,0,0,0,0,0,53.3,34.6,18.3,41,56.2,3.79,30.8,965,3.43,16.4,70.4
"165","cd3cd28",1,0,0,0,0,0,0,0,0,27.9,19.3,24.4,106,23.7,14.7,21.3,519,14.9,36.2,16.5
"166","cd3cd28",1,0,0,0,0,0,0,0,0,69.8,26.2,21.9,20.4,17,18.9,45.3,533,2.41,9.47,74.3
"167","cd3cd28",1,0,0,0,0,0,0,0,0,7.23,5.88,17.8,119,14.1,8.82,23.7,445,3,18.1,66.7
"168","cd3cd28",1,0,0,0,0,0,0,0,0,49.1,18.8,14.9,29.4,15,17.6,28.1,470,1.88,21.9,59.4
"169","cd3cd28",1,0,0,0,0,0,0,0,0,42.6,15.7,53.3,62.6,16.5,3.79,10.3,552,6.98,44.9,271
"170","cd3cd28",1,0,0,0,0,0,0,0,0,16.5,22.9,9.22,10.9,46.1,3.59,13.6,874,12.5,28.1,2.89
"171","cd3cd28",1,0,0,0,0,0,0,0,0,101,61,17.9,13,27.9,7.99,11.1,215,5.14,11.4,58.8
"172","cd3cd28",1,0,0,0,0,0,0,0,0,59.9,21.9,11.5,17.2,13.3,8.82,24.8,965,9.22,44.9,3.85
"173","cd3cd28",1,0,0,0,0,0,0,0,0,102,46.1,11.3,104,13.3,36.8,65.5,914,13.7,33.4,11
"174","cd3cd28",1,0,0,0,0,0,0,0,0,142,101,26.9,422,101,11.3,19.5,649,8.43,29.2,138
"175","cd3cd28",1,0,0,0,0,0,0,0,0,61.5,17.2,17.8,10.1,16.7,14.9,33.1,542,11.1,20.9,154
"176","cd3cd28",1,0,0,0,0,0,0,0,0,54.7,20.4,15.5,35.2,32.5,11.7,18.1,599,1.63,17.5,67.9
"177","cd3cd28",1,0,0,0,0,0,0,0,0,50.5,19.5,4.78,13.6,24.8,11.7,28.9,509,18.3,39.6,23.3
"178","cd3cd28",1,0,0,0,0,0,0,0,0,34,13.3,26.7,38.2,98.2,34,59.4,704,32.8,63.2,50.9
"179","cd3cd28",1,0,0,0,0,0,0,0,0,48.7,19.5,32.8,43.7,44.9,8.58,24.4,466,1.6,20.4,64.9
"180","cd3cd28",1,0,0,0,0,0,0,0,0,70.4,25.3,12.3,145,21.1,4.53,24.6,255,4.83,18.8,51.9
"181","cd3cd28",1,0,0,0,0,0,0,0,0,45.7,19.1,6.32,94.7,17.2,8.43,16,244,3.08,23.5,93.9
"182","cd3cd28",1,0,0,0,0,0,0,0,0,78.4,33.1,25.3,27.4,46.6,66.7,164,3220,17.8,29.7,18.3
"183","cd3cd28",1,0,0,0,0,0,0,0,0,17.6,11.4,32.5,94.7,117,23.7,36.5,355,9.82,23.1,18.9
"184","cd3cd28",1,0,0,0,0,0,0,0,0,29.4,26.4,15.1,21.5,8.13,15.4,71.7,610,2.07,22.1,57.3
"185","cd3cd28",1,0,0,0,0,0,0,0,0,63.8,21.1,7.64,38.2,50,4.41,13.9,461,20.5,31.3,13.2
"186","cd3cd28",1,0,0,0,0,0,0,0,0,227,155,28.6,32.8,22.3,10.8,10.1,362,19.6,39.2,12.1
"187","cd3cd28",1,0,0,0,0,0,0,0,0,64.4,29.7,13.7,33.4,8.58,7.7,23.1,1252,12.6,25.3,1.11
"188","cd3cd28",1,0,0,0,0,0,0,0,0,57.8,15.3,19.5,71,31.6,14.3,17.9,505,18.9,38.9,33.1
"189","cd3cd28",1,0,0,0,0,0,0,0,0,75,23.7,13.5,178,31.6,21.5,33.1,255,28.1,43.7,12.5
"190","cd3cd28",1,0,0,0,0,0,0,0,0,48.7,25,52.3,109,16.3,6.85,17.8,445,3.85,16,63.8
"191","cd3cd28",1,0,0,0,0,0,0,0,0,61,53.3,27.4,32.5,3.72,9.56,25.7,1346,1.42,19.6,79.9
"192","cd3cd28",1,0,0,0,0,0,0,0,0,96.5,46.1,16.1,15.5,31.6,3.85,22.3,5.57,6.15,32.5,73
"193","cd3cd28",1,0,0,0,0,0,0,0,0,54.7,26.2,12.5,93.9,14.9,11.5,18.6,474,16.4,24.1,7.3
"194","cd3cd28",1,0,0,0,0,0,0,0,0,118,39.2,66.1,75,14.1,4.33,11.1,562,18.3,36.5,13.3
"195","cd3cd28",1,0,0,0,0,0,0,0,0,96.5,56.2,29.7,39.2,16.1,12.2,37.9,1000,17.3,47,23.1
"196","cd3cd28",1,0,0,0,0,0,0,0,0,89,52.8,24.4,18.9,3.85,23.1,42.9,710,21.1,37.9,18.6
"197","cd3cd28",1,0,0,0,0,0,0,0,0,25.3,38.5,21.5,48.3,75,19.1,33.7,308,89,138,46.6
"198","cd3cd28",1,0,0,0,0,0,0,0,0,96.5,46.1,20.9,51.4,14.5,53.3,118,882,3.34,12.9,30.5
"199","cd3cd28",1,0,0,0,0,0,0,0,0,62.6,34.9,18.1,133,30,21.5,24.1,403,9.56,21.3,13.6
"200","cd3cd28",1,0,0,0,0,0,0,0,0,18.3,20,47.4,75.7,63.2,13.3,19.3,400,19.3,31.9,29.4
"201","cd3cd28",1,0,0,0,0,0,0,0,0,65.5,32.5,12.9,17,12.7,18.8,31.1,334,5.88,33.1,138
"202","cd3cd28",1,0,0,0,0,0,0,0,0,85.1,41,14.9,32.2,27.4,38.5,47,777,6.38,23.1,56.2
"203","cd3cd28",1,0,0,0,0,0,0,0,0,79.9,25,36.5,26.2,42.6,4.91,9.91,385,5.42,25.9,98.2
